"COUNTRY","Country","LANDINGS","Marine landings","SPECIES","Species","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","ATK","Okhotsk atka mackerel [Pleurogrammus azonus]","TON","Tonne","2005","2005","TONNE","Tonnes","0","Units",,,140450,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","ATK","Okhotsk atka mackerel [Pleurogrammus azonus]","TON","Tonne","2006","2006","TONNE","Tonnes","0","Units",,,116391,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","ATK","Okhotsk atka mackerel [Pleurogrammus azonus]","TON","Tonne","2007","2007","TONNE","Tonnes","0","Units",,,139154,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","ATK","Okhotsk atka mackerel [Pleurogrammus azonus]","TON","Tonne","2008","2008","TONNE","Tonnes","0","Units",,,169807,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","ATK","Okhotsk atka mackerel [Pleurogrammus azonus]","TON","Tonne","2009","2009","TONNE","Tonnes","0","Units",,,119325,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","ATK","Okhotsk atka mackerel [Pleurogrammus azonus]","TON","Tonne","2010","2010","TONNE","Tonnes","0","Units",,,84497,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","ATK","Okhotsk atka mackerel [Pleurogrammus azonus]","TON","Tonne","2011","2011","TONNE","Tonnes","0","Units",,,62583,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","ATK","Okhotsk atka mackerel [Pleurogrammus azonus]","TON","Tonne","2012","2012","TONNE","Tonnes","0","Units",,,68762,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","ATK","Okhotsk atka mackerel [Pleurogrammus azonus]","TON","Tonne","2013","2013","TONNE","Tonnes","0","Units",,,52718,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","ATK","Okhotsk atka mackerel [Pleurogrammus azonus]","TON","Tonne","2014","2014","TONNE","Tonnes","0","Units",,,28447,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","ATK","Okhotsk atka mackerel [Pleurogrammus azonus]","TON","Tonne","2015","2015","TONNE","Tonnes","0","Units",,,17183,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","ATK","Okhotsk atka mackerel [Pleurogrammus azonus]","TON","Tonne","2016","2016","TONNE","Tonnes","0","Units",,,17393,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","ATK","Okhotsk atka mackerel [Pleurogrammus azonus]","TON","Tonne","2017","2017","TONNE","Tonnes","0","Units",,,17777,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","ATK","Okhotsk atka mackerel [Pleurogrammus azonus]","TON","Tonne","2018","2018","TONNE","Tonnes","0","Units",,,33669,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2000","2000","TONNE","Tonnes","0","Units",,,49819,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2001","2001","TONNE","Tonnes","0","Units",,,88164,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2002","2002","TONNE","Tonnes","0","Units",,,67564,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2003","2003","TONNE","Tonnes","0","Units",,,60076,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2004","2004","TONNE","Tonnes","0","Units",,,66770,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2005","2005","TONNE","Tonnes","0","Units",,,67591,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2006","2006","TONNE","Tonnes","0","Units",,,100925,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2007","2007","TONNE","Tonnes","0","Units",,,46921,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2008","2008","TONNE","Tonnes","0","Units",,,62116,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2009","2009","TONNE","Tonnes","0","Units",,,32753,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2010","2010","TONNE","Tonnes","0","Units",,,70757,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2011","2011","TONNE","Tonnes","0","Units",,,44748,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2012","2012","TONNE","Tonnes","0","Units",,,36589,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2013","2013","TONNE","Tonnes","0","Units",,,38212,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2014","2014","TONNE","Tonnes","0","Units",,,33813,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2015","2015","TONNE","Tonnes","0","Units",,,29219,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2016","2016","TONNE","Tonnes","0","Units",,,20586,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2017","2017","TONNE","Tonnes","0","Units",,,12180,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PAS","Pacific sandlance [Ammodytes personatus]","TON","Tonne","2018","2018","TONNE","Tonnes","0","Units",,,14786,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2000","2000","TONNE","Tonnes","0","Units",,,15041,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2001","2001","TONNE","Tonnes","0","Units",,,14633,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2002","2002","TONNE","Tonnes","0","Units",,,15527,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2003","2003","TONNE","Tonnes","0","Units",,,14541,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2004","2004","TONNE","Tonnes","0","Units",,,14527,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2005","2005","TONNE","Tonnes","0","Units",,,14635,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2006","2006","TONNE","Tonnes","0","Units",,,15827,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2007","2007","TONNE","Tonnes","0","Units",,,15609,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2008","2008","TONNE","Tonnes","0","Units",,,15723,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2009","2009","TONNE","Tonnes","0","Units",,,15743,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2010","2010","TONNE","Tonnes","0","Units",,,14965,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2011","2011","TONNE","Tonnes","0","Units",,,17330,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2012","2012","TONNE","Tonnes","0","Units",,,15399,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2013","2013","TONNE","Tonnes","0","Units",,,14155,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2014","2014","TONNE","Tonnes","0","Units",,,14640,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2015","2015","TONNE","Tonnes","0","Units",,,14978,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2016","2016","TONNE","Tonnes","0","Units",,,15151,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2017","2017","TONNE","Tonnes","0","Units",,,15343,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBP","Pargo breams nei [Pagrus spp]","TON","Tonne","2018","2018","TONNE","Tonnes","0","Units",,,16075,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2000","2000","TONNE","Tonnes","0","Units",,,9066,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2001","2001","TONNE","Tonnes","0","Units",,,9545,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2002","2002","TONNE","Tonnes","0","Units",,,10983,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2003","2003","TONNE","Tonnes","0","Units",,,10947,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2004","2004","TONNE","Tonnes","0","Units",,,11633,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2005","2005","TONNE","Tonnes","0","Units",,,10335,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2006","2006","TONNE","Tonnes","0","Units",,,10355,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2007","2007","TONNE","Tonnes","0","Units",,,10162,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2008","2008","TONNE","Tonnes","0","Units",,,10531,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2009","2009","TONNE","Tonnes","0","Units",,,10157,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2010","2010","TONNE","Tonnes","0","Units",,,9998,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2011","2011","TONNE","Tonnes","0","Units",,,10608,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2012","2012","TONNE","Tonnes","0","Units",,,10404,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2013","2013","TONNE","Tonnes","0","Units",,,9248,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2014","2014","TONNE","Tonnes","0","Units",,,10709,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2015","2015","TONNE","Tonnes","0","Units",,,9894,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2016","2016","TONNE","Tonnes","0","Units",,,9376,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2017","2017","TONNE","Tonnes","0","Units",,,9421,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SBX","Porgies, seabreams nei [Sparidae]","TON","Tonne","2018","2018","TONNE","Tonnes","0","Units",,,9247,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2000","2000","TONNE","Tonnes","0","Units",,,10989,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2001","2001","TONNE","Tonnes","0","Units",,,7820,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2002","2002","TONNE","Tonnes","0","Units",,,7869,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2003","2003","TONNE","Tonnes","0","Units",,,6340,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2004","2004","TONNE","Tonnes","0","Units",,,6704,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2005","2005","TONNE","Tonnes","0","Units",,,6266,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2006","2006","TONNE","Tonnes","0","Units",,,5693,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2007","2007","TONNE","Tonnes","0","Units",,,5052,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2008","2008","TONNE","Tonnes","0","Units",,,5207,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2009","2009","TONNE","Tonnes","0","Units",,,4184,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2010","2010","TONNE","Tonnes","0","Units",,,4954,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2011","2011","TONNE","Tonnes","0","Units",,,6286,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2012","2012","TONNE","Tonnes","0","Units",,,5803,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2013","2013","TONNE","Tonnes","0","Units",,,4841,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2014","2014","TONNE","Tonnes","0","Units",,,4828,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2015","2015","TONNE","Tonnes","0","Units",,,4885,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2016","2016","TONNE","Tonnes","0","Units",,,4979,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2017","2017","TONNE","Tonnes","0","Units",,,4420,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","PUX","Puffers nei [Tetraodontidae]","TON","Tonne","2018","2018","TONNE","Tonnes","0","Units",,,4947,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2000","2000","TONNE","Tonnes","0","Units",,,5136,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2001","2001","TONNE","Tonnes","0","Units",,,4995,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2002","2002","TONNE","Tonnes","0","Units",,,5606,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2003","2003","TONNE","Tonnes","0","Units",,,5283,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2004","2004","TONNE","Tonnes","0","Units",,,5856,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2005","2005","TONNE","Tonnes","0","Units",,,5387,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2006","2006","TONNE","Tonnes","0","Units",,,5262,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2007","2007","TONNE","Tonnes","0","Units",,,5647,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2008","2008","TONNE","Tonnes","0","Units",,,4775,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2009","2009","TONNE","Tonnes","0","Units",,,4986,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2010","2010","TONNE","Tonnes","0","Units",,,3826,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2011","2011","TONNE","Tonnes","0","Units",,,4323,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2012","2012","TONNE","Tonnes","0","Units",,,4184,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2013","2013","TONNE","Tonnes","0","Units",,,4496,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2014","2014","TONNE","Tonnes","0","Units",,,3736,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2015","2015","TONNE","Tonnes","0","Units",,,4149,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2016","2016","TONNE","Tonnes","0","Units",,,3938,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2017","2017","TONNE","Tonnes","0","Units",,,3796,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","HTR","[Parapristipoma trilineatum]","TON","Tonne","2018","2018","TONNE","Tonnes","0","Units",,,3988,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2000","2000","TONNE","Tonnes","0","Units",,,671260,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2001","2001","TONNE","Tonnes","0","Units",,,566182,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2002","2002","TONNE","Tonnes","0","Units",,,491698,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2003","2003","TONNE","Tonnes","0","Units",,,446894,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2004","2004","TONNE","Tonnes","0","Units",,,403546,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2005","2005","TONNE","Tonnes","0","Units",,,385248,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2006","2006","TONNE","Tonnes","0","Units",,,337068,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2007","2007","TONNE","Tonnes","0","Units",,,378253,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2008","2008","TONNE","Tonnes","0","Units",,,338783,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2009","2009","TONNE","Tonnes","0","Units",,,341560,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2010","2010","TONNE","Tonnes","0","Units",,,308369,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2011","2011","TONNE","Tonnes","0","Units",,,333565,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2012","2012","TONNE","Tonnes","0","Units",,,249196,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2013","2013","TONNE","Tonnes","0","Units",,,261381,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2014","2014","TONNE","Tonnes","0","Units",,,244393,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2015","2015","TONNE","Tonnes","0","Units",,,199690,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2016","2016","TONNE","Tonnes","0","Units",,,146943,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2017","2017","TONNE","Tonnes","0","Units",,,138887,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","57","SQUIDS, CUTTLEFISHES, OCTOPUSES","TON","Tonne","2018","2018","TONNE","Tonnes","0","Units",,,119752,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2000","2000","TONNE","Tonnes","0","Units",,,337285,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2001","2001","TONNE","Tonnes","0","Units",,,298191,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2002","2002","TONNE","Tonnes","0","Units",,,273579,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2003","2003","TONNE","Tonnes","0","Units",,,253840,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2004","2004","TONNE","Tonnes","0","Units",,,234603,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2005","2005","TONNE","Tonnes","0","Units",,,222360,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2006","2006","TONNE","Tonnes","0","Units",,,190317,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2007","2007","TONNE","Tonnes","0","Units",,,253494,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2008","2008","TONNE","Tonnes","0","Units",,,217472,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2009","2009","TONNE","Tonnes","0","Units",,,218658,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2010","2010","TONNE","Tonnes","0","Units",,,199832,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2011","2011","TONNE","Tonnes","0","Units",,,242262,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2012","2012","TONNE","Tonnes","0","Units",,,168207,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2013","2013","TONNE","Tonnes","0","Units",,,180089,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2014","2014","TONNE","Tonnes","0","Units",,,172688,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2015","2015","TONNE","Tonnes","0","Units",,,128838,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2016","2016","TONNE","Tonnes","0","Units",,,70197,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2017","2017","TONNE","Tonnes","0","Units",,,63734,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQJ","Japanese flying squid [Todarodes pacificus]","TON","Tonne","2018","2018","TONNE","Tonnes","0","Units",,,47712,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQU","Various squids nei [Loliginidae, Ommastrephidae]","TON","Tonne","2000","2000","TONNE","Tonnes","0","Units",,,179856,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQU","Various squids nei [Loliginidae, Ommastrephidae]","TON","Tonne","2001","2001","TONNE","Tonnes","0","Units",,,126609,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","SQU","Various squids nei [Loliginidae, Ommastrephidae]","TON","Tonne","2002","2002","TONNE","Tonnes","0","Units",,,85745,,
